Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_2220_5750Metric",58.500000,-61.500000,0.000000,bottom
"C2","22pF","C_2220_5750Metric",58.500000,-45.000000,180.000000,bottom
"C3","22pF","C_2220_5750Metric",58.500000,-53.000000,0.000000,bottom
"C4","0.1uF","C_2220_5750Metric",58.500000,-36.000000,0.000000,bottom
"C5","0.1uF","C_2220_5750Metric",58.500000,-27.000000,0.000000,bottom
"J1","Conn_02x03_Top_Bottom","PinHeader_1x01_P1.00mm_Horizontal",78.000000,-51.000000,-90.000000,bottom
"J2","PJ-002B","CUI_PJ-002B",85.725000,-51.785000,-90.000000,bottom
"J3","Conn_01x03","PinHeader_1x01_P1.00mm_Horizontal",95.990000,-54.610000,180.000000,bottom
"R1","10K","R_0201_0603Metric",64.000000,-27.000000,0.000000,bottom
"R2","7K","R_0201_0603Metric",64.000000,-36.000000,0.000000,bottom
"R3","7K","R_0201_0603Metric",64.000000,-31.000000,0.000000,bottom
"U4","L78L05_SO8","SOIC-8_3.9x4.9mm_P1.27mm",93.345000,-48.260000,0.000000,bottom
"U5","DS3231N","SOIC127P1032X265-16N",82.550000,-40.640000,180.000000,bottom
"U6","L78L05_SOT89","SOT-89-3",96.901000,-60.960000,180.000000,bottom
