Ref,Val,Package,PosX,PosY,Rot,Side
"BT2","BC-2600","BAT_BC-2600",41.025000,-43.815000,0.000000,top
"C4","0.1uF","C_2220_5750Metric",103.251000,-39.243000,0.000000,top
"C5","0.1uF","C_2220_5750Metric",94.224000,-39.243000,0.000000,top
"C6","ABS07-32.768KHZ-T","CAP_ABS07-32.768KHZ-T_ABR",63.500000,-48.895000,90.000000,top
"R4","100K","R_0201_0603Metric",142.000000,-64.000000,180.000000,top
"R5","27K","R_0201_0603Metric",150.000000,-64.000000,180.000000,top
"R6","27K","R_0201_0603Metric",123.000000,-64.000000,180.000000,top
"R7","27K","R_0201_0603Metric",117.000000,-64.000000,0.000000,top
"R8","27K","R_0201_0603Metric",220.000000,-64.500000,180.000000,top
"R9","27K","R_0201_0603Metric",202.000000,-64.000000,180.000000,top
"R10","27K","R_0201_0603Metric",191.000000,-64.000000,180.000000,top
"R11","100K","R_0201_0603Metric",196.000000,-64.000000,0.000000,top
"SW4","2-1825910-7","SW4_1825910-G_TEC",84.189000,-33.499750,90.000000,top
"SW5","2-1825910-7","SW4_1825910-G_TEC",92.776999,-33.499750,90.000000,top
"SW6","2-1825910-7","SW4_1825910-G_TEC",101.364998,-33.499750,90.000000,top
"U1","ATmega328P-P","DIP-28_W7.62mm",66.500000,-25.800000,0.000000,top
"U2","HV5622","QFP80P1390X1390X235-44N",135.000000,-35.000000,-90.000000,top
"U3","HV5622","QFP80P1390X1390X235-44N",205.000000,-35.000000,-90.000000,top
